Bucket,Banny Name,$JBX Range,Range width,Arcana,Comms ,Grind ,Perception,Strength,Shadowiness,History,Motto
11,John Row,"1,000-1,999",1000,0,1,4,4,3,1,"If he’s not busy smuggling goods and stacking paper like a boss, there are few things John Rowe likes to do more in his spare time than to grab a bit of bait and head out onto the open water. His tranquil nature belies a serious business acumen, and his bait and rod could slay even the most feisty fish in the sea. Whether he’s out on the lake or in the throes of a business deal going south, he always play his cards close to his chest. Forsooth, nary a banana nor a monster of the sea can outsmart this shrewd old banana.",Peel softly and carry extra bait.
12,Dotty Gale ,"2,000-2,999",1000,1,3,3,2,2,2,"“Mofo, I don’t think we’re in web2 anymore,” sighed the exuberant yet confused Dotty Gale. An embodiment of web3 moxie and pizzazz, Dotty Gale is embarking on new frontiers with cautious optimism. She doesn’t know her own strength yet, like so many young heroines, but she’s looking forward to the adventure that awaits her. Basket in tow with an adorable little terrier at her side, Dotty will take on the brave new world of web3 with a smile on her face— but beware not to get on her bad side, for with a few small clicks of those ruby-studded slippers you can rest assured that all hell will break loose.",There’s no place like web3. There’s no place like web3. There’s no place like web3.
13,Baobhan Sith,"3,000-3,999",1000,4,2,3,4,2,4,"A she-devil if there ever was one, Ms. Bhaoban Sith will charm you and disarm you in a heartbeat. She enjoys few things more than a nice scotch and good, supple company. You may see here from afar, glimmering in a nice sequin dress, or hear her angelic voice from beyond some nice idyllic hillside, and as if under a magnetic trance be attracted to this beautiful buxom vamp. The old adage rings doubly true for Ms. B: if it looks too good to be true, it is.",Why don’t you stay for just one more drink?
14,Piers Plowman,"4,000-4,999",1000,2,5,3,2,2,4,"Who can’t get behind a banana that robs from the ripe and gives to the budding? After all, it’s the young generations that will make the banana tree of tomorrow. Robin knows this and he engages in what some would call stealing— though he would call it humanitarian work, to be sure. He’s seen a few bananas around town that look like ripe old targets, in fact, but when he will strike is anyone’s guess. Some would ask how this stealthy banana can live with himself, but Robin will be the first to tell you that he sleeps like a baby.",Rob from the ripe to give to the under-ripe.
15,Ivar the Boneless,"5,000-5,999",1000,1,0,5,4,4,2,"Horned and horny, Ivar the Viking is a Banana you don’t want to mess with. Clad in all the trappings of a barbarian invader and with double the gusto, Ivar loves nothing more than a good pillage. This bonerific Banny is not without affliction, however: suffering from brittle bones that are prone to microfracturing, Ivar is a glass canon if there ever was one. His penchant for good scraps and plundering aside, he loves a good meal and a good joke. Some may ask if he feels bad for all the carnage he brings with him, and he probably does deep down— thank goodness for repression.",The rippin’ and the tearin’. The rippin’ and the tearin’.
16,Johnny Rotten,"6,000-6,999",1000,2,3,4,2,2,1,"Have you ever wanted to be smashing around in a mosh pit while a rebellious banana pissed all over you and screamed in your face about anarchy? If so, Punk banny is for you! Whether you like a good show or just some good old fashioned non-conformism, you can purchase a Punk banny to express your distaste for capitalistic commoditization. You can further express your complete abhorrence for such consumerism by buying Punk banny’s complete set of accessories, which you can snatch up right now at a discounted bundle rate! (Terms of bundle rate or actual bundle rate subject to change, or not even exist at all!) Punk banny wants you to support him, but he would never tell you that. He’d tell you to go fuck yourself and embrace anarchy, and he’d show the all the right gift shops to help you express your newfound rebelliousness. Punk banny is on your side. Now open wide, the stream of piss is coming in hot!",Go fuck yourself and use coupon code PUNK to get 20% off a dildo.
17,Sakura Haruno,"7,000-7,999",1000,0,2,3,4,4,3,"Not everything is at it seems with this saccharine banny. Sakura, while charming and wily in her own rite, has some more layers to her than one might expect at first glance. Often overlooked, she has come into her own as a banny that can dictate the pace, and do so with remarkable ease and sophistication. Her pink hair and sweet demeanor belie a complexity not often seen nor appreciated, but when the going gets tough you always know she’ll have your back. Of late she’s been a bit forlorn, like most bannies who have lost their love interest— but will she find them again soon?","Everyone has their soulmate, but where is mine?"
18,Smalls,"8,000-8,999",1000,1,3,2,4,1,3,"Smalls isn’t a banana that strikes you as remarkable at first glance, but that’s only because it takes him a while to come into his own. He’s a moderately tempered, mellow-headed banana that experienced many rites of passage to get where he is. He may not be the first banana you think of when you need a pinch hitter at the bottom of the ninth, but you can definitely count on him being there and having your back. He’s a good banana, at a time when that old childhood innocent fun-loving life is the exception, not the rule. Wholesome, whether in a bowl of cereal or on top of a 1950’s style banana split, Smalls brings you good times and comfort.",I’m a mirror for your adolescence.
19,Tafari Makonnen,"9,000-9,999",1000,1,3,2,5,3,2,"There is a regal air about this banana— a hint of royalty that is lasting and enduring. Known for immediately making an impression when he walks into a room, and clad in the most dapper and stately dress, Tafari exudes grace. And he should: he’s got a lifetime under his belt of kingsmanship, and he’s a delight at a banquet or gala, as any royal should be. But just like Chronos eating his children, Tafari is walking gracefully on a tumultuous tightrope. One wonders how it will end for him, but the writing’s on the wall.",Let them drink tej.
20,Mick Mulligan,"10,000-11,999",2000,2,4,3,3,1,3,"Musical and light in demeanor, Mick is a banana that knows how to keep it classy and fun at a party. You’ll find few bananas that can blow a horn like Mick. He likes long walks at the horse races and trips to the grocery store. He may not be the most famous banana, but he’s an important part of the crew, and when shit hits the fan and you need a moral-boosting trumpet to blare across the battlefield, you better believe it’ll have Mick’s wet lips all around it.",Embouchure is everything.
21,Bannible Lector ,"12,000-13,999",2000,0,0,4,2,3,2,"If class and style is what you want, look no further than this very gentlemanly banana. Bannible Lector is someone you can count on for a good classical music recommendation or tips on how to whip up a nice Chateaubriand. His culinary exploits are quite daring and he’s never been afraid to take a risk, whether in or out of the kitchen. With a laser-focused mind that can read you like an open book, he finds all the restraints he’s packaged up in just a tad off-putting. Come help him take off his straitjacket and muzzle— he’ll reward you with a nice home-cooked dish!",I eat bananas with a side of fava beans and chianti.
22,Wade ,"14,000-15,999",2000,2,4,3,3,3,3,"Heh, what are you doing here? Trying to save the world, one NFT-drop at a time? I wish I could tell you how great I am, but let’s be honest: I’m not. I’m just a regular old banana in a red skin-tight suit. Yep. Lowkey, don’t even know who my dad is. I started out as a bad guy, and now, well, now I’m even worse! But if you need someone’s ass kicked, whether banana or not, I’m your fruit. What the hell else am I supposed to say? I gotta tell you, I wish they had a bar for us here in web3. All I’m finding is tech bros talking about how everything’s “on-chain”. Pfft. What a bunch of losers.","I could really go for a top hat or something, this whole look is starting to bore me."
23,Tamar of Georgia ,"16,000-17,999",2000,2,4,4,3,2,0,"A builder in the truest sense of the world, Tamar shows what a female Banny can do. Between romping with her cornucopia of male concubines and spearheading foreign and domestic affairs, she exudes effortless control of her kingdom. Her acumen should come as no surprise, and she’s battle-tested and hardened from stamping out failed insurrections aplenty. What she’s built appears like it will last 1000 years, but who knows what the future will have in store.",Who says a woman can’t be king?
24,Dolly Parton,"18,000-19,999",2000,3,5,5,2,2,3,"This wholesome banny is quite the talent. Whether she’s throwing down an impromptu concert or throwing back a shot of bourbon, she does it in style. She works a guitar with carefully manicured nails that effortlessly finger pick in travis or other styles, and a sweet smile that tells you everything's okay. Undoubtedly the best banana to ever grow in Tennessee, she takes the fruitcake ten out of ten times. If Elvis was The King, then surely Dolly is The Queen.",It costs a lot of money to look this sweet.
25,Baker,"20,000-21,999",2000,1,2,2,5,3,2,"Many astronaut bannies came before her, but this is the first one to survive. Oh yes, it was quite a harrowing experience for bananas in space. Nobody seemed to care much if they made it or now— in fact, early on they weren’t even expected to survive. But Astronaut Banny Baker made it back. She was studied carefully, both before, during, and after her trip into the cosmos. She had a good spirit about the whole thing and was never at risk of succumbing. But what nobody could possibly expect is the amazing career she has had after her spaceflight, routinely entertaining children and adults. One of the few bannies to go to space and tell the tale.",EEK EEK OOK OOK!
26,Athos,"22,000-23,999",2000,3,4,3,3,3,3,"This banny is principled and deft with a gun and sword. While not the most chirpy musketeer banny out there, he’s among the most lethal. Ever-troubled and a banana that turns to the drink more than most, he will stick up for what’s right, even if it means killing a part of himself in the process. He still grieves from the death of his wife, Ms. Musketeer, who he had to kill when he discovered that she was on the run. Justice trumps personal feelings, but he still loves her. He knows the deep truth to his existence: the banana that lives be the gun dies by it also.","Let justice be served, no matter the cost."
27,The Witch of Endor,"24,000-25,999",2000,4,4,4,3,3,4,"She’s got all the answers, but do you really want them? The Witch of Endor is a banana most mysterious; always willing to offer advice, but with the very important caveat that she can never promise where it will take you. What is fate, really? Are her prophesies the stuff of the divine, or is the very fact that she vocalizes them enough to make them self-fulfilling? Bannies seek her out when they are in need, especially when they don’t want to turn to a more discerning source. But beware— you just may get what you wish for.",Be careful what you wish for.
28,Desmond Miles,"26,000-27,999",2000,3,2,5,4,3,5,"From bar tending to ass kicking, Desmond Miles does it all. Like so many bananas that strike out from home to start a new life, Desmond never thought he’d find a future in being an elite assassin. After all, who wants to carry on a family tradition when the world has so much to offer? Truly, the grass is always greener. But what Desmond never expected was that proverbial truth: people tend to follow in the footsteps of their parents. Little did he know that he was destined to be amongst the greatest bannies, and in so doing become their greatest sacrifice.",Be who you are until you aren’t.
29,Banhovah,"28,000-29,999",2000,5,2,2,5,5,2,"A banny that can turn strawberry smoothies into daiquiris: Banhova has arrived. They say he can walk on whipped cream. They say he hasn’t grown, just risen. They say his father was a great big tree, the likes of which made the Tower of Babel look small. They say he will flip all the fruit stands in the city. They say a lot about Banhova, or as his buddies call him, Yahweh. He likes to hang with OG Banny and the two of them get up to all sorts of mischief. He had a rough time once where he got peeled in front of everybody, but he learned to forgive. And he wants you to forgive, too.","For what shall it profit the banana, who gains the whole world, but in the process loses his sweetness?"
30,Pinkie Pie,"30,000-39,999",10000,3,5,5,0,5,0,"This bubbly banny is sweeter than a pound of aspartame. It’s eyebleach for all occasions. It shits rainbows and pukes butterflies. This banny works hard. This banny has beautiful round eyes that plead helplessly. This banny could go on a killing spree and people would just sit back and go, “Awwwwww! So cute!!!!” This banny gets access to important events because of how cute it looks, and this banny knows its power. This banny will fuck you up.","Awwww, I think she’s sleeping! Let’s pet her!"
31,Edward Teach,"40,000-49,999",10000,1,4,4,4,3,4,"If looks could kill, then laying eyes on Edward would mean certain death. He fits all the stereotypes of a vicious, opportunistic pirate, and he’s clad in the accoutrements to boot. But looks can be deceiving! This banny is amongst the most suave out there— a careful and intentional deal maker, shrewd beyond his years. He wields his image more deftly than any weapon on earth. Which begs the question— how much of that image can he truly back up? He would tell you simply: come find out.",Let your image do the fighting for you.
32,Legolas,"50,000-59,999",10000,5,2,3,4,2,4,"This little elven banny is a hard worker and overall just a really good banana. He’s on the sensitive side— likes most elven bananas—but don’t let that fool you, deep down he’s got a heart of gold. He’s got good dexterity and is a killer shot with a longbow, and he’s big enough to put his disagreements with dwarves aside if there is a bigger battle to fight. He’s lived a long life, but he isn’t old by any stretch. He’s happy to fight for the forces of good in the Bannyverse, and he looks forward to polishing off his old bow and putting some nasty bannies in the ground, where they belong.",Cross me and thy heart shall rest.
33,Naruto,"60,000-69,999",10000,3,4,4,4,4,0,"They say character spawns from tragedy, and Naruto will tell you that this must be so. Born out of the marriage of chaos and the innocence of childhood, this banana grew up in darkness, precluded from the violence trapped inside him. But like all great heroes, he turned those overripe bananas into a banana smoothie. He learned to harness his power and to bend its will toward the good and in need. And he developed a strong crush for Sakura, a Banny he seeks out at all costs.",I’ve got something growing inside me... For Sakura.
34,Pharaoh King Banatut,"70,000-79,999",10000,4,3,4,5,3,2,"Much conjecture exists around this banny. He’s definitely an oddball who casts a wide shadow. He walks with a slight limp, perhaps the result of a clubbed foot. He may have some neurodegenerative disorders. He’s short and awkward. But nothing surprising for a banny who’s mother is his father’s sister. I mean you’re really scraping the bottom of the genetic barrel on that one. But by the same token, some believe this is all just a subterfuge for a crafty leader. Some would say Pharaoh King Banatut is a shrewd politician. Some would say that mountains were moved for him.","I’ll show you, dad!"
35,Agent J,"80,000-89,999",10000,3,5,3,4,3,3,"Finally, a fresh-faced banny who is ready to get some real work done! Agent J may not be the most experienced secret agent banana on the roster, but he’s gung-ho and ready to take down some bad guys and investigate some extraterrestrial mischief! He tries to be a good partner, even in the face of extreme sarcasm and resting bitch face. But he may occasionally lose his temper, and in the worst case will slap a fool.",Keep my partner’s name out your motherfuckin’ mouth!
36,Batbanny,"90,000-99,999",10000,3,2,4,4,4,4,"Does the end justify the means? This banny would tell you so. He took some serious childhood drama and turned it into the fuel he needed to clean up a corrupt and crime-ridden city. He’s entered the Bannyverse, and he’s ready to bring some heat on all the bad bananas out there. Does each killing bring him closer to peace? Hell no, but that doesn’t mean he’ll stop trying. Batbanny puts his pain and trauma onto you, and he lets it kill you. He wants you to suffer, just as he did. But ask him who’s the bad guy, and he’ll always say it’s you.",Protector. Tormentor.
37,Mario ,"100,000-199,999",100000,3,4,3,2,5,3,"A plumber banana with humble beginnings, Mario is continually thrust into danger as he attempts to help the histrionic apple of his eye, Peach. They are definitely that couple in the Bannyverse: a hot mess, a dumpster fire, a drama factory. Mario will save Peach each and every time, no matter how many bodies he catches along the way. He doesn’t seem to understand that the vast majority of his relationship involves him getting cucked by Bowser. But it’s all worth it in the end, when he can reunite with his cluster-b-personality-disorder companion and lay some serious pipe. And then it starts over all again.",Wa-hoooo!
38,Masako Tanaka,"200,000-299,999",100000,2,5,2,4,3,2,"No banana has the grace or poise of Masako, nor do they even begin to approximate the sophistication and class that she exudes. But beware— behind that polished veneer, that culmination of centuries of culture of the highest class— is a world of sacrifice that very few can imagine, let alone withstand. Steeled from such austere upbringing, Masako isn’t one to compromise her principles. She worked too hard to let that happen, and she’ll let you know it.",Never compromise who you are.
39,Jango Fett,"300,000-399,999",100000,3,2,5,3,3,5,"This taciturn banana doesn’t need a quick mouth or a loud voice to do most of the talking— his presence is enough to send a shockwave through you. He’s an old-school bounty hunter, a gun for hire, a banny on a mission. He’s not fighting for justice or truth—what mere banana would ever deign to know what justice and truth is? No, he’s far more practical. He fights for JBX tokens exclusively, and whoever pays the greatest number gets his service. He’s gritty and practical, with no flare or style outside of pure efficiency. They say the Bannyverse will implode the day he shows emotion.",I’m the web3 lord. Let the hodlers pay me.
40,Tinkerbanny,"400,000-499,999",100000,5,3,3,3,3,3,"At times sweet, at times sour, Tinkerbanny is a mercurial banana to be sure. She has a penchant for fixing and augmenting all things physical— a tinkerer in the truest sense of the word— and she’s been known to run a shop that other bannies frequent. If you need to modulate your gun to full auto, or get some chips out of your samurai sword, she’s your banana. She’s also a bit moody, to put it lightly, so you better catch her on a good day. Nothing worse than a weapons shop hosted by an angry banny, after all. She definitely likes to be cherished and treated with care. Hopefully the other bannies can remember that.","I’m loyal, just don’t be a shithead."
41,Banny Stark,"500,000-599,999",100000,3,4,4,3,5,3,"A good-humored banny with a playboy lifestyle, this superhero banana loves nothing more than a night out after saving the world. Banny Stark, like so many superheroes before him, emerged from childhood trauma with the perseverance and drive to change the world. He’s jovial and witty and not without sarcasm, and it’s always best to stay on his good side. That said, like so many superhero bannies out there, he’s nothing without a nemesis. They say a new nemesis is emerging for him, straight from the Bannyverse. Can you guess who it is?",Build shit. Blow shit up. Save shit. Repeat.
42,Emmett  “Doc” Brown,"600,000-699,999",100000,4,3,4,4,2,2,"My goodness, reader! Hold on to your horses because you’re about to jump down a rabbit hole here! This banny will take you places you’ve never been! He’ll take you back in time to kiss your own mother! This banny has some kinky fucking fetishes! He’ll take you back to the old west to make you kiss your own great-great-grandfather! And if you read this paragraph at precisely 88 words per minute, you just may get a glimpse of that wild west lemon party! Oh he’d like that! Oh yes he’d love it! Other bannies tend to stay away from him, for obvious reasons.",Just one more time. I promise it won’t be like last time!
43,Beatrix Kiddo,"700,000-799,999",100000,3,2,4,5,3,5,"A banny hell bent on revenge and with all the skills to exact it, Black Mamba is coming for her enemies. The erstwhile pregnant banny awoke recently to find that her seeds were stolen. She has a feeling she knows who took them, along with the bannies that helped them. Delving back into a life she swore to leave behind, Black Mamba has suited up and polished off her katana. For all other bannies out there: stay the hell out of her way. She’s going scorched earth in the Bannyverse, and you don’t wanna be around to see it first-hand.","Give me my seeds, and I’ll make this quick."
44,Louise Burns,"800,000-899,999",100000,5,2,3,3,4,5,"Louise is cute as a button. A little girl banny about 8 years old, she loves to people watch. You can find her in dark long hallways, particularly after a long night of strange occurrences. Her only friend seems to be her twin sister, and she loves her bright blue dress, both clean and blood stained. Most of her other friends have been a bit odd, so she’s always happy to meet new people. At the end of the day she’s not unlike most kids— she just wants to play. Won’t you come play with her?",Come play with me.
45,Miyamoto Musashi,"900,000-999,999",100000,2,5,5,5,5,5,"No banny can wield a sword like Musashi. His form and technique is pristine and the stuff of legends. Musashi is interested in keeping the peace and punishing social transgressions. He’s excellent at shaming others, which some say cuts deeper than any katana ever could. He’s a bit lonely in the Bannyverse, but he heard that there’s another sword fighter floating around and he’s excited to duel them. After all, he’s never lost a duel. They say he can pluck flies out of the air with nothing more than chop sticks. As far as bar tricks go, that’s gotta take the cake.",Think lightly of yourself and deeply of the world.
46,Obiwan Kenobanana,"1,000,000-1,999,999",1000000,5,5,4,5,5,4,"If there’s already a best sword fighter banny, then certainly Obiwan Kenobanana is the best wielder of the light saber. He has fought long and trained many along his path in a uncertain and tumultuous Bannyverse. In fact, he trained a couple of the bannies around here. But like so many tragic portrayals in literature, he is destined to fall at the hands of his own apprentice. But which one is it, and how will it happen? Obiwan has a feeling it’s coming, but he’ll fight like hell until it does.",Poor is the apprentice who does not exceed his master.
47,Enlil,"2,000,000-2,999,999",1000000,4,2,2,4,4,5,"This divine banny has a lot of stories about him, but all impossible to verify. What’s known is that he is amongst the oldest bannies, and the most wise. He’s also prone to a quick temper and can definitely make it rain when he needs to let off some steam. Some have said he may be an otherwordly banana, who came to the Bannyverse as a guest, or intruder, depending on which side you’re on. But all conjecture aside, this Banny is quite powerful. Some say that OG Banny has some info on him.",Akkadians? Please. That’s so last-last-millennium!
48,Spock,"3,000,000-3,999,999",1000000,3,3,4,4,3,5,"Calm, cool and collected, Spock doesn’t make his moves out of whim or anger. Rumored to be half-banana, half-plantain, he is a cool player who does SWOT analyses about which cereal to buy for breakfast. He may not have the most bubbly or energetic personality, but when you need answers that don’t play to your emotions, Spock is your banana. Other bannies are known to seek out Spock for his excellent conflict mediation skills, but what they don’t know is that Spock’s memory is second to none. As a banana who knows everyone’s dirty laundry, his bad side is an inopportune place for you to end up on.",Above all things: be pragmatic.
49,Dr. Harleen Quinzel,"4,000,000-4,999,999",1000000,4,4,4,3,5,3,"Every good banana has a wild side, and Dr. Quinzel is the embodiment of that. A former psychiatrist who did a lot of good helping the most tortured of bananas, she broke out into the Bannyverse with an unmatched eagerness for mayhem. Perhaps she was screwed too tight for most of her life, or maybe, like the strongest diamond shatters in an explosion of magnificent shards, Harleen is unleashed in the Bannyverse in all her mayhem. She’s chasing a long-lost lover— a former patient— and she’s sure she’ll find him. Unless, of course, a careful reader finds him first.","If looks could kill, you’d be dead already."
50,Pamela Anderson,"5,000,000-5,999,999",1000000,3,5,5,3,3,3,"This drop-dead gorgeous banny will have your banana sticking up straight. Playboy loves a good time and isn’t afraid to show it. Equally comfortable with a hammer and tool belt or out in the ocean currents, Playboy is a banny of many skills and talents. She’s also quite formidable, and can protect and kick ass as necessary. A seductress that can throw back a tequila shot over a conversation on animal rights, she’s everybody’s type. Which other banny will fall head over heels for her, and will that story have a happy ending? Stay tuned.","My vibrant peel? It’s all natural, baby."
51,Princess Leia,"6,000,000-6,999,999",1000000,3,4,3,5,3,3,"Princess Leia is a banny that was kicking ass before it was cool. Whether the whole Bannyverse is at risk or there’s just a little disagreement between bananas at a local pub, Princess Leia will jump in and take care of the situation. She’s well trained to fight and is an excellent shot, like most badass heroines. When the writing’s on the wall and the circumstances seem too dire to recover from, you can count on Princess Leia to come in and save the day, sometimes even doing so in a clanky metal bikini.","When the boy bannies are done screwing things up, I come fix it."
52,Lestat The Undead,"7,000,000-7,999,999",1000000,5,5,4,5,5,5,"Lestat will strike you as quite wise for his age, which is misleading, since he’s amongst the oldest bannies in the Bannyverse. His young appearance is sustained by the fresh banana flesh of the living. He has a penchant for mind-reading, fast healing, and superhuman strength, and those that know him would be the first to tell you that he’s a total brat. Don’t let his good looks and charm deceive you— he’ll just as soon slit your throat as he’ll offer you immortality, the latter being far worse, I assure you.",Could I interest you in a hickie?
53,Jinx,"8,000,000-8,999,999",1000000,4,4,5,4,5,4,"A heroine who you can’t help but to root for, Jinx is a banny that brings the heat when she needs to. Don’t let her petite and unassuming exterior fool you, she’s a badass that wields her childhood trauma into magnificent destruction. She tends to steer clear from most bannies, and they do the same. But her approach to problem solving is a double-edged sword, as some more justice-oriented bannies may peg her for a villain. The eventual confrontation is bound to lead to more than a few fireworks, but who will emerge victorious? Stay tuned.",Everything different about you is everything strong about you.
54,Spider Jerusalem,"9,000,000-9,999,999",1000000,4,4,3,4,5,3,"Strap in and be prepared to get your mind fucked hard, because Spider Jerusalem doesn’t fuck around. He’s blunt, and if he’s not in the middle of doing a line of coke, he may take a moment out of his day to let you know that you’re a jackass cog in a societal wheel your dumbass doesn’t even comprehend the existence of. He’s easy to get pissed off and he’ll let you know it, and God help you if you bring a dog around this motherfucker because he doesn’t fuck with canines. He doesn’t fuck with anybody. Just give him a spoon, a lighter, and a syringe and get the fuck outta his way. He’s seen some shit.","Life’s a bitch, then you die."
55,Diana Banana ,"10,000,000-19,999,999",20000000,5,4,5,4,5,4,"Diana Banana has a storied history and a fierce set of skills. Some say she’s half-goddess, with fists that will kill you if her looks don’t. Born from clay carefully sculpted by the hands of ancient deities, and with a pedigree of Amazonian upbringing, Diana started her war-path back in the 1940s beating the living hell out of axis baddies. In the Bannyverse, she can be seen trying to right the wrongs and tip the scales of justice in all the right directions.","Love, and kicking ass, will save the world."
56,Banny Potter,"20,000,000-39,999,999",20000000,5,4,3,4,5,4,"This little meek banana is growing into his own peel. Day to day, he learns more amazing magic tricks and spells to cast. And just in time, too, for a nemesis is on the horizon, the likes of which Banny Potter has never seen before. He’s certain that he can’t overcome any major foe, but he’s about to be thrust before the greatest foe that he’s ever seen. Will he dig deep and find the strength and confidence to overcome this monumental test, or will he shrivel up, like testicles on a cold winter morning, when he rubber hits the road?","It does not do well to dwell on dreams, and forget to live."
57,Prince of Darkness,"40,000,000-59,999,999",20000000,5,5,5,4,4,5,"This diabolical banny will be the first to tell you that he’s just misunderstood. After all, you’ve only heard one side of the story. Equipped with superhuman strength, telekinesis and telepathy, the Prince of Darkness will be the first to point out that he’s not even using any of them on you right now. After all, how bad can he be? Rumors that he erupted from a vessel where he was once entrapped as sentient sludge? Such silliness! And all those people he allegedly hurt? Crisis bananas, nothing more. Come make some deals with him. At the very least: listen to his time-share presentation.",Tell me: where do I belong in a sick society?
58,Blondie ,"60,000,000-99,999,999",40000000,4,5,5,5,5,4,"Eyes squinted, a long poncho draped over a yellow phallus, and a cowboy hat with a six shooter around the girthiest part: that’s Blondie. He doesn’t say much— hell, he doesn’t need to. You know what this banana is about. With the gravel in his gut and the spit in his eye, he’s seen more than your average banana. Nothing fazes him, and nothing should— they say the rattlesnakes whimper when he crosses their path. Where he’s going, where he’s been, and what he wants, well, those are all mysteries to common folk like you or me. But one thing’s for sure: Blondie gets what he wants, and he don’t ask twice.",Every banana makes his own way.
